,m (g),r (cm),rho (g cm-3),T (K),P (dyne cm-2),l (erg s-1),epsilon (erg g-1 s-1),epsilon_pp (erg g-1 s-1),epsilon_CNO (erg g-1 s-1),kappa (cm2 g-1),del_ad,del_rad,del,nature of energy transport
0,2.1879000000000005e+23,8720667.905672621,78.75705982355582,13947589.998957181,1.473691955545627e+17,3.259710689325247e+24,14.898794269088432,14.369415951721104,0.5293783173673288,1.6812058991859589,0.3992260805240395,0.3847094056910392,0.3847094056910392,radiative
1,2.19228478748982e+30,1883138392.1074853,77.75445604806225,13836921.430465763,1.44337675764749e+17,3.170788087034184e+31,14.180231178500657,13.736073152589906,0.44415802591075065,1.6989790125846587,0.3992345741447853,0.3816193236295179,0.3816193236295179,radiative
2,4.38456935618964e+30,2376962453.29133,77.16093219682696,13771832.482374744,1.4256152924208576e+17,6.23285476573025e+31,13.77297470532028,13.372760394856941,0.40021431046333805,1.7095730424448832,0.3992394975648447,0.3798686309926112,0.3798686309926112,radiative
3,6.576853924889459e+30,2725135278.4147105,76.66279740623386,13717428.499925347,1.4108116208516755e+17,9.215084570115456e+31,13.440913699419406,13.07427466311475,0.36663903630465666,1.7185099033845115,0.39924357303323404,0.37840918012800967,0.37840918012800967,radiative
4,8.76913849358928e+30,3003180140.7770557,76.21639774186838,13668871.02492813,1.3976274097397402e+17,1.2129440185869737e+32,13.150695576649383,12.811781762592481,0.33891381405690235,1.7265478479988723,0.3992471776482944,0.37711478630835465,0.37711478630835465,radiative
5,1.09614230622891e+31,3237509151.9329605,75.81172058976334,13624850.136783637,1.3857256126710827e+17,1.4983273420481552e+32,12.892722942203617,12.577232185711463,0.315490756492155,1.733898011334544,0.3992504331730491,0.3758927151267508,0.3758927151267508,radiative
6,1.315370763098892e+31,3443836970.5585685,75.43083855430923,13583574.469254838,1.374583275955098e+17,1.7783057880391658e+32,12.65490505009652,12.359994623562914,0.294910426533607,1.7408321751998013,0.3992534606523819,0.37478330259057074,0.37478330259057074,radiative
7,1.534599219968874e+31,3629603046.001091,75.06603880206363,13544259.574440043,1.3639730133367842e+17,2.0532990381424728e+32,12.43183940629118,12.155361709730768,0.276477696560413,1.7474688185230218,0.39925631467470796,0.37376760487051464,0.37376760487051464,radiative
8,1.753827676838856e+31,3798698417.8128614,74.71834892056263,13506877.771926414,1.3539052200532003e+17,2.3235655326120607e+32,12.22296739975323,11.963011382042565,0.2599560177106657,1.7538167679613605,0.3992590112618383,0.3727957009658416,0.3727957009658416,radiative
9,1.9730561337088379e+31,3954196330.8306923,74.38613318868643,13471198.422806952,1.3443220057780362e+17,2.5893625925755752e+32,12.026544982041488,11.781491217958926,0.24505376408256077,1.7599135066574374,0.39926157330758083,0.37185482076940585,0.37185482076940585,radiative
10,2.19228459057882e+31,4098657686.422464,74.06748942611146,13436992.35362609,1.3351617820774248e+17,2.850932406739265e+32,11.84090403427016,11.609381590580984,0.23152244368917532,1.7657951416176614,0.399264020592298,0.3709421690939509,0.3709421690939509,radiative
11,2.411513047448802e+31,4234131042.487121,73.7602503571733,13404031.856379675,1.3263592624099429e+17,3.10850203138798e+32,11.664440178905409,11.445290782491766,0.21914939641364292,1.7714961912494145,0.399266369804145,0.3700593822310922,0.3700593822310922,radiative
12,2.630741504318784e+31,4362152613.454677,73.4619847152635,13372090.688514987,1.3178454621266098e+17,3.362283390385172e+32,11.495602779137968,11.287850837497809,0.20775194164015925,1.7770493948800032,0.39926863455537326,0.36920974754888286,0.36920974754888286,radiative
13,2.8499699611887657e+31,4483747107.761569,73.17000509904634,13340944.548052749,1.309547873403257e+17,3.6124731636065364e+32,11.332889759747852,11.135716900911126,0.19717285883672675,1.782485481104663,0.3992708253850904,0.3683966729499049,0.3683966729499049,radiative
14,3.069198418058748e+31,4599690613.316675,72.88363387921372,13310518.17659882,1.3014453061859018e+17,3.859213189207302e+32,11.175733508248388,10.9884081658142,0.18732534243418944,1.7878154944711349,0.3992729482628507,0.3676146915393627,0.3676146915393627,radiative
15,3.28842687492873e+31,4710592009.166054,72.60355559151571,13280828.843406975,1.2935501151003624e+17,4.102595455795745e+32,11.02413932538971,10.845977936414746,0.1781613889749631,1.7930391579735265,0.399275007547504,0.3668538723142901,0.3668538723142901,radiative
16,3.507655331798712e+31,4816887924.133696,72.32951454660244,13251832.686633147,1.2858519081121067e+17,4.342718966714105e+32,10.877751077453082,10.708133253185695,0.16961782426738822,1.7981636708346735,0.39927700822907963,0.36610992111889257,0.36610992111889257,radiative
17,3.726883788668694e+31,4918985193.963153,72.0612418518558,13223487.282138327,1.2783403378263909e+17,4.57967977184406e+32,10.736232623259781,10.574594468691142,0.1616381545686382,1.8031959589243773,0.399278954897898,0.36538015836442017,0.36538015836442017,radiative
18,3.9461122455386758e+31,5017260861.317541,71.79845574399248,13195751.643488564,1.2710051014882598e+17,4.813570967606726e+32,10.599266372464488,10.445094580137033,0.15417179232745473,1.8081426536803735,0.3992808517494005,0.36466298691719357,0.36466298691719357,radiative
19,4.165340702408659e+31,5112062175.779537,71.54086190856874,13168586.221954955,1.2638359409825469e+17,5.044482696962656e+32,10.46655198918157,10.319378608310984,0.14717338087058462,1.8130100721422844,0.3992827025886743,0.3639575276422007,0.3639575276422007,radiative
20,4.3845691592786405e+31,5203706593.8513775,71.28815378556712,13141952.90651366,1.2568226428338746e+17,5.272502149411841e+32,10.337805224308266,10.197203019954818,0.140602204353448,1.8178041980057869,0.3992845108346871,0.36326336408736953,0.36326336408736953,radiative
21,4.603797616148622e+31,5292481778.9548645,71.04001286039909,13115815.023845883,1.2499550382066534e+17,5.497713560993708e+32,10.21275686205494,10.078335190755967,0.13442167129897412,1.8225306636005263,0.39928627952425244,0.3625803600433838,0.3625803600433838,radiative
22,4.823026073018604e+31,5378645601.431358,70.79610893980679,13090137.338337896,1.2432230029050832e+17,5.720198214287121e+32,10.091151768020389,9.962552906278017,0.12859886174237234,1.827194732692517,0.3992880113157236,0.3619085268648144,0.3619085268648144,radiative
23,5.042254529888586e+31,5462426138.541784,70.55610041229367,13064886.052081019,1.236616457373152e+17,5.940034438410387e+32,9.972748027710956,9.84964389827689,0.12310412943406707,1.831811353252884,0.399289708492439,0.3612499111932124,0.3612499111932124,radiative
24,5.261482986758568e+31,5544021674.466628,70.31963449285433,13040028.804871624,1.2301253666946363e+17,6.157297609021245e+32,9.857316165738801,9.739405413968635,0.11791075177016568,1.8364120784405602,0.39929137296589784,0.36060984123176276,0.36060984123176276,radiative
25,5.48071144362855e+31,5623600700.305937,70.08634745191202,13015534.674211144,1.2237397405931019e+17,6.372060148316873e+32,9.744638437080027,9.63164381592605,0.11299462115397713,1.8409628581305584,0.3992930062786773,0.3599807301799737,0.3599807301799737,radiative
26,5.699939900498532e+31,5701301914.07932,69.85586482850465,12991374.175306063,1.2174496334319029e+17,6.584391525033889e+32,9.634508182761428,9.526174210388453,0.10833397237297471,1.8454673562458592,0.399294609607069,0.3593624236148483,0.3593624236148483,radiative
27,5.919168357368515e+31,5777234220.725948,69.62780162788951,12967519.261067923,1.2112451442141818e+17,6.794358254448344e+32,9.526729243194382,9.42282010186791,0.10390914132647261,1.8499287803037594,0.39929618376342474,0.3587546086793915,0.3587546086793915,radiative
28,6.138396814238497e+31,5851476732.104556,69.40176250386129,12943943.322113317,1.2051164165828698e+17,7.00202389837573e+32,9.42111542311144,9.321413072030234,0.09970235108120595,1.854349867091845,0.39929772919818646,0.3581567877958184,0.3581567877958184,radiative
29,6.357625271108479e+31,5924136255.093159,69.17775957882735,12920640.168822221,1.199062638439949e+17,7.207436378850067e+32,9.317606133475698,9.221905089369757,0.0957010441059398,1.8587318440187597,0.3992992471390147,0.3575680137262458,0.3575680137262458,radiative
30,6.5768537279784605e+31,5995331942.742176,68.95610242019256,12897617.356287524,1.1930894252545856e+17,7.410626894435623e+32,9.216225404439758,9.124329493261573,0.09189591117818409,1.8630751863168036,0.3993007395889847,0.3569870631972815,0.3569870631972815,radiative
31,6.7960821848484425e+31,6065124742.319979,68.73674376191849,12874865.975452598,1.1871946699703394e+17,7.611633638277353e+32,9.116898010930038,9.02862281110977,0.08827519982026835,1.8673813607276404,0.3993022076238654,0.3564130791421745,0.3564130791421745,radiative
32,7.015310641718424e+31,6133573605.668418,68.51963502272089,12852377.301225388,1.1813762812223787e+17,7.810494184906527e+32,9.019551511916138,8.934723543818613,0.08482796809752415,1.871651805667666,0.39930365227143066,0.35584538152629286,0.35584538152629286,radiative
33,7.234539098588406e+31,6200735578.228112,68.30472696453923,12830142.821159223,1.1756321967841362e+17,8.00724547355562e+32,8.924116296476312,8.842572268874147,0.0815440276021645,1.875887927730587,0.3993050745135975,0.35528343490512954,0.35528343490512954,radiative
34,7.453767555458388e+31,6266665799.038438,68.0919697296849,12808154.235452825,1.1699603835673066e+17,8.201923808158295e+32,8.830525462100324,8.75211157597018,0.07841388613014519,1.880091099899927,0.3993064752869378,0.3547268219814673,0.3547268219814673,radiative
35,7.67299601232837e+31,6331417500.737538,67.88131287735759,12786403.456950309,1.1643588376218486e+17,8.394564857349421e+32,8.738714700243646,8.663286005144538,0.07542869509910684,1.8842626598071015,0.3993078554831781,0.35417522168543103,0.35417522168543103,radiative
36,7.892224469198352e+31,6395042009.562319,67.67270541952207,12764882.611141179,1.158825584135984e+17,8.585203654465062e+32,8.648622188603056,8.576041987318478,0.07258020128457919,1.888403908033345,0.3993092159496845,0.3536283909028925,0.3536283909028925,radiative
37,8.111452926068334e+31,6457588745.348447,67.46609585614132,12743584.036160327,1.1533586774361973e+17,8.773874597542483e+32,8.560188489627818,8.49032778713601,0.06986070249180684,1.89251610645356,0.3993105574899315,0.3530861491661933,0.3530861491661933,radiative
38,8.330681382938317e+31,6519105221.530353,67.26143220976235,12722500.28278804,1.147956200987237e+17,8.960611449320142e+32,8.473356454820355,8.406093448003704,0.06726300681665065,1.8966004766203028,0.3993118808639569,0.35254836576508014,0.35254836576508014,radiative
39,8.549909839808298e+31,6579637045.14123,67.05866205945502,12701624.114449993,1.1426162673921141e+17,9.145447337237701e+32,8.38807113441675,8.323290739235107,0.06478039518164241,1.9006581981859372,0.3993131867888079,0.35201494884644746,0.35201494884644746,radiative
